"folioviv","","conex_inte","ing_cor","energia","comunica","menores"
"100638306","","1","53804.34","2221.93","2140.64","1"
"100639901","","1","47079.24","2354.03","1840.64","0"
"100639902","","1","44460.2","2579.03","2014.64","0"
"100639903","","1","79239.13","3102.08","8460","0"
"100639905","","2","16371.66","2054.03","1050","0"
"100639906","","2","160434.77","3375","4260","0"
"100644801","","1","18089.07","300","1167","0"
"100644802","","2","23699.99","2760","1767","0"
"100644803","","2","25903.73","2580","678","0"
"100644804","","2","39201.5","2265","900","1"
"100644805","","1","67918.02","660","3900","0"
"100644806","","1","108421.95","2850","5100","1"
"100656403","","1","55054.6","510","1625.8","0"
"100656405","","2","29190.5","948","145.16","3"
"100656406","","2","34925.95","297","290.32","1"
"100662501","","1","85578.49","2700","1650","0"
"100662504","","1","60536.07","945","2394","0"
"100662505","","2","67883.39","1125","1800","0"
"100662506","","1","65025.92","1345","1487.32","0"
"100674301","","1","167107.68","2201.61","2400","1"
"100674302","","1","88146.49","180","3750","0"
"100674304","","1","257847.28","750","2967","0"
"100674305","","1","251917.93","300","17009.9","0"
"100674306","","1","51621.4","600","717","0"
"100699001","","1","130382.56","2069.03","1161.29","2"
"100699002","","2","30495.83","240","870.96","0"
"100699003","","1","57133.57","2283.87","2250","0"
"100699004","","1","49548.87","1908.87","2388","0"
"100699005","","2","66180.39","2525.8","1830.96","1"
"100703601","","1","101073.96","1410","2217","0"
"100703602","","1","85675.78","2310","3600","1"
"100703604","","2","71500.36","576","600","0"
"100703606","","1","234267.76","2760","3603","0"
"100725701","","2","20348.68","120","600","0"
"100725703","","1","32718.73","351","2235","0"
"100725704","","2","57325.55","375","1152","0"
"100725705","","2","34817.93","150","1581","2"
"100732701","","2","65729.43","2850","300","5"
"100732702","","2","14772.78","2490","1050","0"
"100732704","","2","25696.71","2340","1650","0"
"100732705","","2","24368.83","2646","600","0"
"100732706","","1","31967.19","540","1710","0"
"100733201","","2","72183.43","2507.41","3161.61","0"
"100733202","","1","37633.18","623.46","2925.47","0"
"100733203","","2","9549.34","315","145.16","0"
"100736202","","1","55208.01","900","1170","2"
"100736204","","1","107387.63","150","750","0"
"100737501","","2","22110.69","2578.05","1200","0"
"100737502","","2","46732.59","183","290.32","2"
"100737503","","2","28453.14","2151.43","580.64","2"
"100737504","","1","36376.58","1000.64","1740","2"
"100737505","","2","18333.04","108","290.32","0"
"100737506","","2","23856.48","270","580.64","0"
"100743301","","2","122297.85","225","580.64","0"
"100743303","","2","33849.37","1906.93","580.64","1"
"100743304","","2","34992.36","708","580.64","1"
"100743305","","1","67737.44","2100","2130.96","3"
"100746901","","1","95474.4","600","1780.64","0"
"100746902","","2","45408.64","768.14","870.96","1"
"100746903","","2","50967.37","585","1161.29","1"
"100746904","","1","54597.98","1942.5","2061.29","0"
"100763801","","1","11506.58","735","1500","0"
"100763804","","2","24040.01","426","1356","1"
"100769401","","2","100713.52","679","3858","3"
"100769402","","1","34616.22","1650","1140","0"
"100769404","","2","14068.01","655.64","290.32","0"
"100769405","","1","87574.34","1032","3932.9","3"
"100774501","","1","69714.3","225","1535.32","0"
"100774503","","1","88029.24","2010","4602.58","1"
"100774504","","1","49157.59","360","3600","2"
"100774505","","2","84400.77","1180.64","870.96","2"
"100813303","","2","109350.08","450","1045.16","1"
"100813305","","1","61931.53","240","4026.58","1"
"100818902","","2","40770.42","327","1761.29","1"
"100818903","","1","43046.6","2143.06","1457.32","1"
"100818904","","1","18174.16","1200","1161.29","1"
"100818906","","1","32474.61","375","1780.64","1"
"100828802","","1","36098.35","2280","1014","0"
"100828803","","1","58954.82","2250","1200","0"
"100828805","","1","93909.79","1158","2067","0"
"100828806","","1","35573.36","1050","1200","0"
"100832401","","2","68610.78","2191.93","1770.96","0"
"100832402","","2","74317.83","375","1840.64","0"
"100832403","","1","154379.01","2341.93","7354.83","0"
"100832404","","1","48177.87","450","580.64","1"
"100832405","","2","21267.44","670.16","440.32","0"
"100832406","","1","135726.2","345","1440","0"
"100836001","","2","20298.9","720.48","232.25","2"
"100836002","","2","17454.06","180","290.32","1"
"100836003","","2","53138.47","2249.85","870.96","1"
"100836004","","2","3521.73","300","290.32","1"
"100836005","","1","17870.6","1080.48","1140","1"
"100844601","","2","28887.62","1500","600","1"
"100844603","","1","54200.23","2218.5","2997","0"
"100844604","","2","38090.15","360","600","1"
"100844605","","1","27217.75","555","1278","0"
"100844606","","1","135599.18","1050","1800","1"
"100851701","","1","28553.11","1128","3360","0"
"100851702","","1","22259.71","864","1665","1"
"100851705","","1","49524.57","2100","4200","0"
"100854201","","1","55927.97","507.58","2385.48","1"
"100854202","","1","107719.58","480","3300","1"
"100854204","","1","42411.27","300","1747.64","1"
"100854206","","1","50240.28","375","2100","0"
"100857501","","1","12752.09","2116.93","1777.64","0"
"100857503","","1","49665.63","345","1797.96","0"
"100857505","","2","11511.1","330","1200","0"
"100857506","","1","135456.65","172.5","2460","0"
"100860301","","1","126474.89","357","2361","0"
"100860303","","1","141377.29","2116.93","4105.64","2"
"100860305","","1","75105.61","540","2448.38","1"
"100860306","","1","33502.06","300","13683.86","0"
"100862901","","1","92915.02","337.5","3508.93","0"
"100862902","","1","96680.98","2249.99","2752.25","0"
"100862903","","2","39682.43","1901.61","1200","1"
"100862904","","1","190612.51","600","3190.64","0"
"100862905","","1","73155.89","2116.2","2333.8","0"
"100862906","","2","81136.1","2491.93","2008.05","2"
"100874003","","1","33750.15","975","1480.64","0"
"100874005","","2","44835.55","757.98","1161.29","5"
"100874006","","1","63737.74","225","940.64","2"
"100874006","","1","39757.48","5574.19","880.64","0"
"100886602","","2","58209.8","3900","1140","0"
"100890902","","1","364979.82","6145.16","3600","0"
"100890903","","1","163385.33","1500","4800","0"
"100890905","","1","275981.22","6483.87","12600","0"
"100906802","","1","223544.67","1950","5550","0"
"100906803","","1","154032.78","3600","1617","0"
"100906805","","1","222934.4","493.5","3027","1"
"100915401","","1","56513.44","619.5","1800","1"
"100915402","","1","122233.01","133.5","2100","1"
"100915404","","1","17574.43","405","1140","0"
"100915405","","1","73964.63","2133.29","1194","0"
"100915406","","2","50069.34","300","1190.32","0"
"100957802","","2","39869.87","570","300","0"
"100957803","","2","59068.27","225","1440","3"
"100957804","","2","28153.61","150","600","1"
"100957805","","2","21773.41","300","600","3"
"100957806","","2","26763.53","900","660","0"
"100961702","","2","72702.58","864","600","2"
"100961706","","1","39865.52","808.5","1578","0"
"100983002","","1","65650.96","1095.48","2160.96","1"
"100983004","","1","64104.78","435","2835.48","3"
"100983005","","1","54732.61","450","1393.54","0"
"100984601","","1","78504.57","375","1767","1"
"100984602","","1","48762.24","208.5","1650","1"
"100984603","","1","18639.33","390","2310","0"
"100984604","","1","108049.12","300","3000","0"
"100984605","","1","204049.79","2220","5700","0"
"100984606","","1","113698.49","2025","2550","0"
"100990401","","1","61049.95","225","2145.09","0"
"100990402","","1","41847.46","270","1780.64","0"
"100990404","","1","87309.74","2061.29","1710.96","1"
"100990406","","2","28625.95","300","290.32","0"
"100999001","","1","36226.86","880.64","2430.96","2"
"100999002","","1","61978.11","246","1911.29","2"
"100999006","","1","98989.14","1676.61","2845.16","0"
"101007601","","1","45049.23","375","2550","3"
"101007603","","2","33841.18","225","120","2"
"101007604","","2","33540.97","990","600","0"
"101007605","","2","29357.28","600","900","0"
"101007606","","1","66398.46","405","1557","1"
"101013701","","2","78909.03","255","1920","0"
"101013702","","2","31838.81","675","600","3"
"101013703","","1","113239.1","3000","3558","1"
"101013704","","1","34377.03","2025","1380","1"
"101013705","","1","376175.4","1431","900","0"
"101014202","","2","48299.51","1110.96","1306.45","0"
"101014203","","1","49756.61","1971.77","1500","0"
"101014204","","1","113965.21","888.14","6240","2"
"101014205","","1","93495.14","2183.12","1540.64","0"
"101014206","","1","39320.02","3241.93","1650","0"
"101025501","","2","61356.6","1953.87","870.96","0"
"101025502","","1","56471.07","880.64","2250","3"
"101025503","","1","92666.86","1050","2080.64","0"
"101025504","","1","48201.68","450","1720.64","0"
"101025505","","1","127473.37","684","3430.93","0"
"101025506","","1","45524.57","600","2077.64","2"
"101026301","","1","102031.05","285","1933.64","0"
"101026303","","1","21989.06","815.32","270","0"
"101026303","","1","23060.72","1695.04","510","3"
"101026304","","1","21768.93","450","450","1"
"101026305","","1","97195.61","420","1140","1"
"101026306","","1","32298.1","270","1500","2"
"101032901","","2","45086.17","393","2010.96","0"
"101032902","","2","35860.79","669.48","580.64","0"
"101032903","","1","42375.77","2233.49","2050.64","1"
"101032904","","1","28733.42","562.5","3180.29","0"
"101032905","","2","12619.55","540","290.32","1"
"101063801","","1","50813.11","1500","1170","0"
"101063802","","2","55050.32","150","900","0"
"101063803","","1","59227.85","1242","1920","1"
"101063804","","1","66491.78","900","2700","1"
"101063805","","1","54688.49","979.5","4290","2"
"101063806","","1","74852.45","900","2850","1"
"101067401","","1","39608.89","2101.93","950.32","0"
"101067402","","2","32929.5","345","290.32","1"
"101067403","","1","92941.2","510","4800","3"
"101067404","","1","29758.36","982.98","1080","2"
"101083002","","1","121860.07","2116.93","1782.96","3"
"101083003","","1","42968.62","5400","3870.96","1"
"101083004","","2","94307.48","2501.61","1500","1"
"101083005","","1","30225.77","1490.32","1480.64","0"
"101083006","","2","34141.29","880.64","638.7","3"
"101086601","","1","39968.82","330","300","0"
"101086602","","2","25327.85","885","300","0"
"101086603","","1","124499.96","1260","2520","1"
"101086604","","1","65225.38","345","2367","0"
"101086605","","1","33890.14","832.5","2910","0"
"101086606","","1","91057.32","600","5040","0"
"101096701","","1","47587.5","2619","3900","0"
"101096702","","1","42860.63","1572","2250","2"
"101096704","","2","39707.72","321","300","0"
"101096706","","1","56762.77","1620","2295","1"
"101103201","","1","30013.73","2189.99","1440","0"
